ID,INDIVIDUAL_ID,DATE,REGION,REEF,ZONING,SPECIES,LIFE_STAGE,FL,TL,Period
Plec01_C01,T19805,20/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,519,541,C
Plec30_B10,P.Ad-01263,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,520,545,C
Plec01_H09,T33221,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,520,545,C
Plec06_G05,T01620,26/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,520,540,C
Plec30_D07,P.Ad-01284,22/05/2012,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,521,550,C
Plec05_D12,T16414,29/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,522,555,C
Plec03_D10,T25201,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,523,565,C
Plec05_H05,T01887,29/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,524,551,C
Plec01_G09,T00009,19/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,525,540,C
Plec02_F03,T19525,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,525,540,C
Plec05_H03,T16011,28/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,525,545,C
Plec29_H11,P.Ad-01238,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,528,560,C
Plec30_B11,P.Ad-01264,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,530,559,C
Plec30_C02,P.Ad-01267,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,530,556,C
Plec01_B11,T26866,29/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,530,552,C
Plec02_E01,T00906,24/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,530,550,C
Plec03_D02,T19259,30/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,530,560,C
Plec03_H03,T26043,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,530,548,C
Plec01_D08,T19802,20/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,532,562,C
Plec01_C02,T25405,23/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,533,561,C
Plec05_A08,T33141,01/02/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,535,569,C
Plec30_B08,P.Ad-01261,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,540,570,C
Plec06_H08,T00941,25/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,540,560,C
Plec30_C08,P.Ad-01273,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,550,578,C
Plec02_B02,T25613,22/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,550,570,C
Plec02_B11,T26709,26/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,550,570,C
Plec01_H04,T25514,23/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,551,581,C
Plec31_A04,P.Ad-01340,02/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,552,582,C
Plec01_F03,T26867,29/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,555,586,C
Plec05_A04,T26998,02/02/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,557,585,C
Plec06_F08,T00254,19/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,560,590,C
Plec02_F04,T25739,26/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,561,589,C
Plec06_E12,T25409,23/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,561,593,C
Plec01_F07,T25547,24/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,564,590,C
Plec06_G06,T00786,21/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,565,598,C
Plec01_H01,T19182,20/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,566,600,C
Plec01_D07,T25666,24/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,567,590,C
Plec30_F12,P.Ad-01313,19/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,570,592,C
Plec30_C05,P.Ad-01270,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,574,604,C
Plec02_D05,T01345,23/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,575,610,C
Plec02_D07,T20042,22/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,575,609,C
Plec30_C04,P.Ad-01269,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,577,606,C
Plec30_C03,P.Ad-01268,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,579,640,C
Plec02_A01,T00908,24/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,580,610,C
Plec02_C03,T01180,23/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,580,620,C
Plec02_G02,T19541,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,580,620,C
Plec30_D09,P.Ad-01286,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,582,605,C
Plec30_D11,P.Ad-01288,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,582,613,C
Plec06_G12,T19362,20/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,582,611,C
Plec30_G07,P.Ad-01320,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,583,613,C
Plec30_B12,P.Ad-01265,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,585,620,C
Plec02_A03,T01314,23/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,587,627,C
Plec30_C01,P.Ad-01266,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,590,618,C
Plec02_B09,T19526,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,590,625,C
Plec02_F06,T25236,22/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,590,630,C
Plec31_A06,P.Ad-01342,02/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,591,625,C
Plec02_E07,T01336,23/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,591,626,C
Plec31_A05,P.Ad-01341,02/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,593,626,C
Plec31_A03,P.Ad-01339,02/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,594,622,C
Plec02_E05,T20021,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,595,630,C
Plec03_B07,T26328,28/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,596,625,C
Plec31_E04,P.Ad-01388,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,599,637,C
Plec01_F09,T19159,20/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,600,616,C
Plec02_B10,T19531,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,600,640,C
Plec30_G08,P.Ad-01321,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,602,633.821,C
Plec30_A07,P.Ad-01245,02/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,603,638,C
Plec31_D10,P.Ad-01382,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,605,641,C
Plec01_A06,T26215,29/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,605,635,C
Plec03_B01,T26156,27/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,607,638,C
Plec31_D12,P.Ad-01384,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,608,643,C
Plec01_A01,T25513,23/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,608,636,C
Plec30_C07,P.Ad-01272,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,609,642,C
Plec01_B10,T26851,28/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,610,640,C
Plec03_D12,T26048,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,610,640,C
Plec03_E09,T16566,30/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,610,640,C
Plec01_C03,T25769,24/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,611,639,C
Plec06_G04,T00197,20/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,614,648,C
Plec31_E02,P.Ad-01386,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,615,654,C
Plec03_H08,T26529,28/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,615,650,C
Plec02_A02,T16302,29/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,621,655,C
Plec30_A01,P.Ad-01239,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,625,651,C
Plec02_A11,T16396,29/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,626,656,C
Plec02_C11,T20052,26/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,626,661,C
Plec30_A02,P.Ad-01240,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,630,666,C
Plec30_D08,P.Ad-01285,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,630,666,C
Plec31_E06,P.Ad-01390,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,630,660,C
Plec02_C01,T01223,23/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,630,670,C
Plec02_C06,T00928,24/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,630,660,C
Plec02_C09,T19519,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,630,665,C
Plec02_D02,T15623,24/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,630,670,C
Plec02_E02,T01333,23/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,630,670,C
Plec30_F07,P.Ad-01308,19/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,635,660,C
Plec02_A08,T19201,30/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,637,677,C
Plec31_D07,P.Ad-01379,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,640,675,C
Plec02_A04,T16520,30/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,640,660,C
Plec02_D09,T26134,26/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,640,678,C
Plec02_F08,R24172,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,640,680,C
Plec02_C10,T25049,26/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,645,680,C
Plec02_A07,N27073,24/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,647,693,C
Plec02_E06,T20026,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,648,681,C
Plec31_C01,P.Ad-01361,02/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,650,690,C
Plec02_A10,T16483,30/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,650,680,C
Plec02_C04,T16491,30/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,650,690,C
Plec02_G01,T25587,26/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,650,690,C
Plec02_E08,T20053,26/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,652,692,C
Plec02_E09,T20030,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,656,694,C
Plec02_G06,T26546,29/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,656,691,C
Plec31_D09,P.Ad-01381,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,658,691,C
Plec02_F09,R24183,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,660,700,C
Plec02_F12,T26131,26/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,660,705,C
Plec02_B04,T16344,29/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,665,700,C
Plec02_D08,T19521,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,665,695,C
Plec02_C05,T19404,30/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,670,705,C
Plec02_B06,T16499,30/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,679,715,C
Plec29_H09,P.Ad-01236,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,680,705,C
Plec01_E08,T26896,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,680,703,C
Plec02_E10,T26710,26/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,680,720,C
Plec02_C07,T20092,22/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,686,710,C
Plec02_C08,T20041,22/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,687,720,C
Plec02_D11,T01343,23/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,688,723,C
Plec02_F02,T25740,26/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,688,725,C
Plec02_A06,T16481,30/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,690,730,C
Plec02_A09,T16497,30/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,690,735,C
Plec02_F07,T00921,24/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,690,710,C
Plec02_D06,T19680,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,697,713,C
Plec02_E03,T15630,24/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,700,740,C
Plec02_F10,T01206,23/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,700,720,C
Plec02_D01,T00994,23/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,710,740,C
Plec02_B05,T00910,24/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,720,750,C
Plec02_F11,T15626,24/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,720,760,C
Plec02_G03,T19547,21/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,720,740,C
Plec03_C08,T26326,28/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,741,781,C
Plec20_H06,P.Ad-00961,09/05/2012,Keppel Islands,Halfway Blue,HPZ,P. maculatus,Adult,529.7600382,550,C
Plec20_H07,P.Ad-00962,09/05/2012,Keppel Islands,Halfway Blue,HPZ,P. maculatus,Adult,529.7600382,550,C
Plec20_H08,P.Ad-00963,09/05/2012,Keppel Islands,Halfway Blue,HPZ,P. maculatus,Adult,529.7600382,550,C
Plec20_H09,P.Ad-00964,09/05/2012,Keppel Islands,Halfway Blue,HPZ,P. maculatus,Adult,481.958891,500,C
Plec20_H10,P.Ad-00965,09/05/2012,Keppel Islands,Halfway Blue,HPZ,P. maculatus,Adult,529.7600382,550,C
Plec20_H11,P.Ad-00966,09/05/2012,Keppel Islands,Halfway Blue,HPZ,P. maculatus,Adult,481.958891,500,C
Plec21_A04,P.Ad-00971,09/05/2012,Keppel Islands,Halfway Blue,HPZ,P. maculatus,Adult,529.7600382,550,C
Plec21_A05,P.Ad-00972,09/05/2012,Keppel Islands,Halfway Blue,HPZ,P. maculatus,Adult,539.3202677,560,C
Plec21_A06,P.Ad-00973,09/05/2012,Keppel Islands,Halfway Blue,HPZ,P. maculatus,Adult,625.3623327,650,C
Plec21_A07,P.Ad-00974,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,673.1634799,700,C
Plec29_G03,P.Ad-00975,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,720.9646272,750,C
Plec21_A08,P.Ad-00976,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec27_D03,P.Ad-00977,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,577.5611855,600,C
Plec21_A10,P.Ad-00979,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,577.5611855,600,C
Plec21_A12,P.Ad-00981,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,481.958891,500,C
Plec21_B01,P.Ad-00982,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec27_D04,P.Ad-00983,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,481.958891,500,C
Plec21_B02,P.Ad-00984,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec27_D05,P.Ad-00985,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,481.958891,500,C
Plec27_D07,P.Ad-00990,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,481.958891,500,C
Plec21_B06,P.Ad-00991,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec21_B07,P.Ad-00992,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,481.958891,500,C
Plec27_D09,P.Ad-00997,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,481.958891,500,C
Plec27_D10,P.Ad-01000,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,673.1634799,700,C
Plec21_C02,P.Ad-01002,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,673.1634799,700,C
Plec27_D11,P.Ad-01003,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,577.5611855,600,C
Plec21_C03,P.Ad-01004,10/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec21_C05,P.Ad-01007,11/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec21_C07,P.Ad-01009,11/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec21_C08,P.Ad-01011,11/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,577.5611855,600,C
Plec29_G04,P.Ad-01015,11/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec21_C11,P.Ad-01016,11/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec21_C12,P.Ad-01017,11/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec21_D01,P.Ad-01018,11/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec21_D03,P.Ad-01020,11/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,720.9646272,750,C
Plec21_D05,P.Ad-01022,11/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec21_D07,P.Ad-01024,11/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec21_D09,P.Ad-01027,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec21_D10,P.Ad-01028,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,673.1634799,700,C
Plec21_D11,P.Ad-01029,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec21_D12,P.Ad-01030,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,577.5611855,600,C
Plec21_E01,P.Ad-01031,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec21_E04,P.Ad-01035,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,577.5611855,600,C
Plec27_E05,P.Ad-01036,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec21_E05,P.Ad-01037,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec21_E06,P.Ad-01038,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec27_E06,P.Ad-01039,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,673.1634799,700,C
Plec21_E07,P.Ad-01040,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec21_E08,P.Ad-01041,13/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec21_E10,P.Ad-01045,14/05/2012,Keppel Islands,Wreck Bay,HPZ,P. maculatus,Adult,625.3623327,650,C
Plec27_G08,P.Ad-01172,14/05/2012,Keppel Islands,Wreck Bay,HPZ,P. maculatus,Adult,529.7600382,550,C
Plec27_G09,P.Ad-01173,14/05/2012,Keppel Islands,Big Peninsula,HPZ,P. maculatus,Adult,577.5611855,600,C
Plec27_G10,P.Ad-01174,14/05/2012,Keppel Islands,Big Peninsula,HPZ,P. maculatus,Adult,577.5611855,600,C
Plec22_E08,P.Ad-01177,14/05/2012,Keppel Islands,Big Peninsula,HPZ,P. maculatus,Adult,625.3623327,650,C
Plec22_E11,P.Ad-01183,14/05/2012,Keppel Islands,Big Peninsula,HPZ,P. maculatus,Adult,720.9646272,750,C
Plec22_E12,P.Ad-01187,15/05/2012,Keppel Islands,North Keppel Green East,MPZ,P. maculatus,Adult,501.0793499,520,C
Plec22_F01,P.Ad-01189,15/05/2012,Keppel Islands,North Keppel Green East,MPZ,P. maculatus,Adult,673.1634799,700,C
Plec22_F03,P.Ad-01191,15/05/2012,Keppel Islands,North Keppel Green East,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec22_F04,P.Ad-01196,15/05/2012,Keppel Islands,Corroboree Is,HPZ,P. maculatus,Adult,529.7600382,550,C
Plec28_A01,P.Ad-01199,16/05/2012,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,481.958891,500,C
Plec22_F12,P.Ad-01210,16/05/2012,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,481.958891,500,C
Plec22_G02,P.Ad-01214,19/05/2012,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,501.0793499,520,C
Plec29_H06,P.Ad-01217,19/05/2012,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,720.9646272,750,C
Plec22_G03,P.Ad-01218,19/05/2012,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,481.958891,500,C
Plec22_G04,P.Ad-01219,19/05/2012,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec22_G06,P.Ad-01222,19/05/2012,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,558.4407266,580,C
Plec22_G10,P.Ad-01227,19/05/2012,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec22_G12,P.Ad-01230,19/05/2012,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,654.043021,680,C
Plec22_H09,P.Ad-01430,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec22_H10,P.Ad-01431,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec23_A04,P.Ad-01437,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec23_A05,P.Ad-01442,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,720.9646272,750,C
Plec23_A06,P.Ad-01443,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec23_A09,P.Ad-01447,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec28_B09,P.Ad-01449,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec28_B10,P.Ad-01450,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,654.043021,680,C
Plec28_B11,P.Ad-01451,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,673.1634799,700,C
Plec23_A10,P.Ad-01452,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,577.5611855,600,C
Plec28_B12,P.Ad-01453,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,577.5611855,600,C
Plec23_A11,P.Ad-01454,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec23_A12,P.Ad-01456,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec28_C06,P.Ad-01461,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,520.1998088,540,C
Plec23_B01,P.Ad-01462,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec23_B02,P.Ad-01463,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec23_B03,P.Ad-01464,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,577.5611855,600,C
Plec23_B04,P.Ad-01465,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,577.5611855,600,C
Plec28_C07,P.Ad-01467,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec28_C10,P.Ad-01471,20/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec23_B09,P.Ad-01478,21/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,501.0793499,520,C
Plec23_B11,P.Ad-01482,21/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec23_C04,P.Ad-01487,21/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec23_C06,P.Ad-01489,21/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,625.3623327,650,C
Plec23_C08,P.Ad-01491,21/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec23_C09,P.Ad-01492,21/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec23_C10,P.Ad-01494,21/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec23_C11,P.Ad-01495,21/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,481.958891,500,C
Plec23_D04,P.Ad-01501,21/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,529.7600382,550,C
Plec28_D08,P.Ad-01505,21/05/2012,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,720.9646272,750,C
