ID,INDIVIDUAL_ID,DATE,REGION,REEF,ZONING,SPECIES,LIFE_STAGE,FL,TL,Period
Plec05_E06,T25163,22/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,365,390,C
Plec03_G05,T01896,29/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,366,391,C
Plec01_A12,T33255,03/02/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,367,398,C
Plec05_C02,T19400,21/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,367,387,C
Plec01_C07,T26892,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,368,380,C
Plec03_E12,T33109,31/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,370,390,C
Plec05_B02,T33337,01/02/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,370,390,C
Plec05_D10,T26407,27/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,370,396,C
Plec05_H06,T25276,22/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,370,391,C
Plec06_H04,T16027,28/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,370,390,C
Plec05_B06,T26310,27/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,371,395,C
Plec02_G04,T26531,28/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,372,395,C
Plec02_H02,T16213,29/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,372,396,C
Plec05_D06,T01905,25/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,372,393,C
Plec01_G04,T00841,21/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,373,391,C
Plec02_G09,T16033,29/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,375,390,C
Plec03_A01,T16039,29/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,375,390,C
Plec03_E08,T16182,28/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,375,392,C
Plec05_B10,T25593,27/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,375,392,C
Plec06_G09,T16556,29/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,375,395,C
Plec01_A05,T25132,25/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,376,401,C
Plec03_F07,T26433,28/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,376,396,C
Plec05_E04,T25987,27/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,376,395,C
Plec05_G02,T00732,22/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,377,392,C
Plec03_C12,T26771,29/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,380,410,C
Plec03_H06,T26331,28/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,380,398,C
